Table of FindAllMarkers Function Output: Gene Expression Differential Analysis Results,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SH2D6,0,5.464834892,0.841,0.004,0,TUF,SH2D6
LRMP,0,4.991881494,0.8,0.01,0,TUF,LRMP
HPGDS,0,4.264264736,0.526,0.002,0,TUF,HPGDS
FYB1,0,4.224123469,0.668,0.023,0,TUF,FYB1
TRPM5,0,4.187971643,0.702,0.01,0,TUF,TRPM5
PSTPIP2,0,4.046356958,0.634,0.056,0,TUF,PSTPIP2
BMX,0,3.833406465,0.615,0.003,0,TUF,BMX
AZGP1,0,3.722116397,0.716,0.255,0,TUF,AZGP1
ALOX5,0,3.593711852,0.629,0.057,0,TUF,ALOX5
HCK,0,3.49501869,0.516,0.003,0,TUF,HCK
PTGS1,0,3.375216007,0.577,0.008,0,TUF,PTGS1
PTPN18,0,3.265572167,0.698,0.26,0,TUF,PTPN18
SH2D7,0,3.253438189,0.498,0.001,0,TUF,SH2D7
GRASP,0,3.227633338,0.448,0.009,0,TUF,GRASP
AVIL,0,3.210474587,0.595,0.035,0,TUF,AVIL
COL27A1,0,3.191972965,0.52,0.084,0,TUF,COL27A1
MATK,0,3.157650875,0.416,0.007,0,TUF,MATK
ATP2A3,0,3.138486979,0.692,0.199,0,TUF,ATP2A3
RASSF6,0,3.096000782,0.681,0.24,0,TUF,RASSF6
IL17RB,0,3.059837104,0.528,0.093,0,TUF,IL17RB
CCSER1,0,2.947108175,0.47,0.074,0,TUF,CCSER1
ALOX5AP,0,2.853606981,0.391,0.061,0,TUF,ALOX5AP
ITPR2,0,2.853442266,0.57,0.159,0,TUF,ITPR2
GNG13,0,2.760030491,0.401,0.001,0,TUF,GNG13
RGS13,0,2.757585927,0.327,0.004,0,TUF,RGS13
PLCG2,0,2.668480679,0.719,0.073,0,TUF,PLCG2
HTR3E,0,2.577271618,0.368,0.001,0,TUF,HTR3E
SPIB,0,2.445047707,0.449,0.035,0,TUF,SPIB
AFAP1L2,0,2.444892733,0.311,0.048,0,TUF,AFAP1L2
B4GALNT4,0,2.43449822,0.326,0.034,0,TUF,B4GALNT4
POU2F3,0,2.327529955,0.42,0.015,0,TUF,POU2F3
OGDHL,0,2.315899321,0.286,0.002,0,TUF,OGDHL
PIK3CG,0,2.262071634,0.274,0.003,0,TUF,PIK3CG
GRK5,0,2.130941511,0.343,0.049,0,TUF,GRK5
TAS1R3,0,2.054395918,0.272,0.009,0,TUF,TAS1R3
HEPACAM2,0,1.845542245,0.437,0.087,0,TUF,HEPACAM2
TUBA1A,4.52E-281,2.857913082,0.506,0.148,1.42E-276,TUF,TUBA1A
PBXIP1,1.27E-279,2.697750274,0.497,0.144,3.97E-275,TUF,PBXIP1
TPM1,9.53E-273,2.47290655,0.86,0.722,2.98E-268,TUF,TPM1
MARCKSL1,3.68E-260,2.441470926,0.822,0.708,1.15E-255,TUF,MARCKSL1
ZFHX3,1.79E-258,2.722642239,0.575,0.217,5.59E-254,TUF,ZFHX3
HOTAIRM1,5.89E-234,2.690409654,0.488,0.16,1.84E-229,TUF,HOTAIRM1
ANXA13,2.01E-194,2.410518508,0.454,0.157,6.29E-190,TUF,ANXA13
MTSS1,3.17E-193,2.055449716,0.353,0.094,9.93E-189,TUF,MTSS1
SELENOM,1.36E-183,2.013203245,0.305,0.073,4.25E-179,TUF,SELENOM
ADGRG6,2.98E-181,2.250714225,0.279,0.063,9.33E-177,TUF,ADGRG6
HIP1R,1.13E-157,2.582341376,0.436,0.169,3.55E-153,TUF,HIP1R
SPTLC2,1.30E-157,2.680548193,0.534,0.267,4.08E-153,TUF,SPTLC2
KRT18,6.60E-155,1.449706737,0.961,0.95,2.07E-150,TUF,KRT18
LUC7L3,7.42E-132,2.126274428,0.706,0.569,2.32E-127,TUF,LUC7L3
IGSF3,1.01E-126,2.049772983,0.261,0.072,3.16E-122,TUF,IGSF3
TLE4,3.08E-121,2.225410108,0.492,0.247,9.66E-117,TUF,TLE4
ARHGEF38,7.60E-108,2.134006356,0.316,0.113,2.38E-103,TUF,ARHGEF38
EIF1B,2.94E-103,2.566593116,0.584,0.444,9.21E-99,TUF,EIF1B
TBC1D2B,2.47E-102,1.603769149,0.262,0.084,7.73E-98,TUF,TBC1D2B
PLEKHB1,3.28E-96,1.782270125,0.309,0.12,1.03E-91,TUF,PLEKHB1
IFI6,1.76E-85,2.123438778,0.506,0.314,5.53E-81,TUF,IFI6
JUN,5.77E-79,1.02101824,0.877,0.882,1.81E-74,TUF,JUN
MAP7,9.20E-70,2.086217722,0.517,0.387,2.88E-65,TUF,MAP7
PTPRJ,1.13E-69,1.723807357,0.298,0.133,3.53E-65,TUF,PTPRJ
DEFB1,1.12E-62,1.864099567,0.27,0.119,3.51E-58,TUF,DEFB1
H3F3B,2.20E-59,0.830613491,0.852,0.919,6.89E-55,TUF,H3F3B
IL13RA1,4.83E-59,1.926129308,0.454,0.33,1.51E-54,TUF,IL13RA1
FURIN,2.75E-58,1.946128589,0.328,0.175,8.63E-54,TUF,FURIN
LIPG,1.55E-56,1.754206165,0.284,0.137,4.87E-52,TUF,LIPG
