BEAM Analysis Results Table,,,,,,,
,status,family,pval,qval,gene_short_name,num_cells_expressed,use_for_ordering
A1BG,OK,negbinomial.size,0.949510588,1,A1BG,23,FALSE
A1BG-AS1,OK,negbinomial.size,1,1,A1BG-AS1,1,FALSE
A1CF,OK,negbinomial.size,0.988519469,1,A1CF,1683,TRUE
A2M,OK,negbinomial.size,0.037289376,0.587465343,A2M,37,FALSE
A2M-AS1,OK,negbinomial.size,1,1,A2M-AS1,7,FALSE
A2ML1,OK,negbinomial.size,0.534703572,1,A2ML1,2,FALSE
A4GALT,FAIL,negbinomial.size,1,1,A4GALT,11,FALSE
A4GNT,OK,negbinomial.size,1,1,A4GNT,0,FALSE
AAAS,OK,negbinomial.size,0.706305158,1,AAAS,311,FALSE
AACS,OK,negbinomial.size,0.277439866,1,AACS,398,FALSE
AADAC,OK,negbinomial.size,1,1,AADAC,11,FALSE
AADACL2,OK,negbinomial.size,0.999999312,1,AADACL2,2,FALSE
AADAT,OK,negbinomial.size,0.950094162,1,AADAT,53,FALSE
AAED1,OK,negbinomial.size,0.64622982,1,AAED1,131,FALSE
AAGAB,OK,negbinomial.size,0.988793758,1,AAGAB,854,FALSE
AAK1,OK,negbinomial.size,1.07E-06,7.97E-05,AAK1,2068,TRUE
AAMDC,OK,negbinomial.size,0.642158499,1,AAMDC,1362,TRUE
AAMP,OK,negbinomial.size,0.999469027,1,AAMP,1610,TRUE
AANAT,FAIL,negbinomial.size,1,1,AANAT,3,FALSE
AAR2,OK,negbinomial.size,0.591186348,1,AAR2,134,FALSE
AARD,OK,negbinomial.size,1,1,AARD,1,FALSE
AARS,OK,negbinomial.size,0.968824045,1,AARS,523,FALSE
AARS2,OK,negbinomial.size,0.717951378,1,AARS2,294,FALSE
AARSD1,OK,negbinomial.size,0.305361487,1,AARSD1,167,FALSE
AASDH,OK,negbinomial.size,0.66624065,1,AASDH,412,FALSE
AASDHPPT,OK,negbinomial.size,0.979464615,1,AASDHPPT,323,FALSE
AASS,OK,negbinomial.size,0.999808,1,AASS,60,FALSE
AATBC,OK,negbinomial.size,0.78231976,1,AATBC,27,FALSE
AATF,OK,negbinomial.size,0.213927665,1,AATF,906,FALSE
AATK,OK,negbinomial.size,0.954710009,1,AATK,274,FALSE
ABALON,OK,negbinomial.size,0.961218761,1,ABALON,27,FALSE
ABAT,OK,negbinomial.size,0.842624116,1,ABAT,336,FALSE
ABC12-49244600F4.4,OK,negbinomial.size,1,1,ABC12-49244600F4.4,0,FALSE
ABCA1,OK,negbinomial.size,0.998785172,1,ABCA1,703,FALSE
ABCA10,OK,negbinomial.size,0.99835145,1,ABCA10,279,FALSE
ABCA12,OK,negbinomial.size,0.571354638,1,ABCA12,25,FALSE
ABCA13,OK,negbinomial.size,0.450568012,1,ABCA13,35,FALSE
ABCA2,OK,negbinomial.size,0.623249167,1,ABCA2,479,FALSE
ABCA3,OK,negbinomial.size,0.061045198,0.806240788,ABCA3,36,FALSE
ABCA4,OK,negbinomial.size,1,1,ABCA4,1,FALSE
ABCA5,OK,negbinomial.size,0.000140409,0.00667491,ABCA5,2859,TRUE
ABCA6,OK,negbinomial.size,0.418406313,1,ABCA6,112,FALSE
ABCA7,OK,negbinomial.size,0.271273878,1,ABCA7,489,FALSE
ABCA8,OK,negbinomial.size,0.999967579,1,ABCA8,4,FALSE
ABCA9,OK,negbinomial.size,0.710079656,1,ABCA9,176,FALSE
ABCA9-AS1,OK,negbinomial.size,1,1,ABCA9-AS1,0,FALSE
ABCB1,OK,negbinomial.size,2.65E-09,2.94E-07,ABCB1,2049,TRUE
ABCB10,OK,negbinomial.size,0.830701146,1,ABCB10,296,FALSE
ABCB11,OK,negbinomial.size,0.750425562,1,ABCB11,53,FALSE
ABCB4,OK,negbinomial.size,0.952060718,1,ABCB4,20,FALSE
ABCB5,OK,negbinomial.size,1,1,ABCB5,1,FALSE
ABCB6,OK,negbinomial.size,1,1,ABCB6,4,FALSE
ABCB7,OK,negbinomial.size,0.399561032,1,ABCB7,395,FALSE
ABCB8,OK,negbinomial.size,0.768164401,1,ABCB8,745,FALSE
ABCB9,OK,negbinomial.size,0.777207771,1,ABCB9,96,FALSE
ABCC1,OK,negbinomial.size,0.681585559,1,ABCC1,272,FALSE
ABCC10,OK,negbinomial.size,0.909191811,1,ABCC10,301,FALSE
ABCC11,OK,negbinomial.size,0.985055633,1,ABCC11,5,FALSE
ABCC2,OK,negbinomial.size,0.948763776,1,ABCC2,23,FALSE
ABCC3,OK,negbinomial.size,0.248547636,1,ABCC3,3395,TRUE
ABCC4,OK,negbinomial.size,0.941899717,1,ABCC4,166,FALSE
ABCC5,OK,negbinomial.size,0.916795444,1,ABCC5,599,FALSE
ABCC5-AS1,OK,negbinomial.size,1,1,ABCC5-AS1,0,FALSE
ABCC6,OK,negbinomial.size,0.736232186,1,ABCC6,383,FALSE
ABCC8,OK,negbinomial.size,1,1,ABCC8,3,FALSE
ABCC9,OK,negbinomial.size,1,1,ABCC9,1,FALSE
ABCD1,OK,negbinomial.size,0.998916802,1,ABCD1,343,FALSE
ABCD2,OK,negbinomial.size,1,1,ABCD2,3,FALSE
ABCD3,OK,negbinomial.size,0.335578274,1,ABCD3,1574,TRUE
ABCD4,OK,negbinomial.size,0.553419839,1,ABCD4,1033,TRUE
ABCE1,OK,negbinomial.size,0.015194568,0.307888846,ABCE1,365,FALSE
ABCF1,OK,negbinomial.size,0.79346774,1,ABCF1,1765,TRUE
ABCF2,OK,negbinomial.size,0.915729546,1,ABCF2,54,FALSE
ABCF3,OK,negbinomial.size,0.808596714,1,ABCF3,498,FALSE
ABCG1,OK,negbinomial.size,7.41E-05,0.003777969,ABCG1,1140,TRUE
ABCG2,OK,negbinomial.size,4.26E-10,5.13E-08,ABCG2,1328,TRUE
ABCG4,OK,negbinomial.size,1,1,ABCG4,1,FALSE
ABCG5,FAIL,negbinomial.size,1,1,ABCG5,17,FALSE
ABCG8,OK,negbinomial.size,0.853904837,1,ABCG8,24,FALSE
ABHD1,OK,negbinomial.size,1,1,ABHD1,4,FALSE
ABHD10,OK,negbinomial.size,0.789970908,1,ABHD10,176,FALSE
ABHD11,OK,negbinomial.size,0.55263495,1,ABHD11,2714,TRUE
ABHD11-AS1,OK,negbinomial.size,0.115384084,1,ABHD11-AS1,232,FALSE
ABHD12,OK,negbinomial.size,0.081974181,0.961579544,ABHD12,968,FALSE
ABHD12B,OK,negbinomial.size,0.226091521,1,ABHD12B,44,FALSE
ABHD13,OK,negbinomial.size,0.931955683,1,ABHD13,632,FALSE
ABHD14A,OK,negbinomial.size,0.863452138,1,ABHD14A,154,FALSE
ABHD14A-ACY1,OK,negbinomial.size,0.904216128,1,ABHD14A-ACY1,78,FALSE
ABHD14B,OK,negbinomial.size,0.006626038,0.165968337,ABHD14B,575,FALSE
ABHD15,OK,negbinomial.size,0.322717508,1,ABHD15,307,FALSE
ABHD15-AS1,OK,negbinomial.size,1,1,ABHD15-AS1,2,FALSE
ABHD16A,OK,negbinomial.size,0.326997574,1,ABHD16A,114,FALSE
ABHD16B,OK,negbinomial.size,1,1,ABHD16B,0,FALSE
ABHD17A,OK,negbinomial.size,0.949634623,1,ABHD17A,1327,TRUE
ABHD17B,OK,negbinomial.size,0.544644471,1,ABHD17B,323,FALSE
ABHD17C,OK,negbinomial.size,0.003291607,0.094248721,ABHD17C,2462,TRUE
ABHD18,OK,negbinomial.size,0.879743697,1,ABHD18,533,FALSE
ABHD2,OK,negbinomial.size,0.998655896,1,ABHD2,1506,TRUE
ABHD3,OK,negbinomial.size,0.000253906,0.011094655,ABHD3,2268,TRUE
ABHD4,OK,negbinomial.size,0.424582836,1,ABHD4,284,FALSE
ABHD5,OK,negbinomial.size,1.68E-08,1.62E-06,ABHD5,828,TRUE
ABHD6,OK,negbinomial.size,0.981403127,1,ABHD6,198,FALSE
ABHD8,OK,negbinomial.size,0.722380917,1,ABHD8,52,FALSE
ABI1,OK,negbinomial.size,0.040971776,0.623084549,ABI1,1906,TRUE
ABI2,OK,negbinomial.size,0.779533363,1,ABI2,450,FALSE
ABI3,OK,negbinomial.size,0.98102881,1,ABI3,23,FALSE
ABI3BP,OK,negbinomial.size,0.958976616,1,ABI3BP,8,FALSE
ABL1,OK,negbinomial.size,0.345642859,1,ABL1,826,FALSE
ABL2,OK,negbinomial.size,0.113102472,1,ABL2,391,FALSE
ABLIM1,OK,negbinomial.size,0.978537114,1,ABLIM1,1727,TRUE
ABLIM2,OK,negbinomial.size,0.2352264,1,ABLIM2,229,FALSE
ABLIM3,OK,negbinomial.size,0.78386695,1,ABLIM3,22,FALSE
ABO,OK,negbinomial.size,0.952017134,1,ABO,703,FALSE
ABR,OK,negbinomial.size,0.896786423,1,ABR,1771,TRUE
ABRA,OK,negbinomial.size,0.999998885,1,ABRA,2,FALSE
ABRACL,OK,negbinomial.size,8.20E-06,0.000528085,ABRACL,3080,TRUE
ABT1,OK,negbinomial.size,0.977979253,1,ABT1,660,FALSE
ABTB1,OK,negbinomial.size,0.480605335,1,ABTB1,546,FALSE
ABTB2,OK,negbinomial.size,0.008939957,0.209953216,ABTB2,707,FALSE
AC000032.2,OK,negbinomial.size,1,1,AC000032.2,0,FALSE
AC000067.1,OK,negbinomial.size,1,1,AC000067.1,0,FALSE
AC000068.10,OK,negbinomial.size,1,1,AC000068.10,1,FALSE
AC000068.5,OK,negbinomial.size,0.998432996,1,AC000068.5,7,FALSE
AC000068.9,OK,negbinomial.size,1,1,AC000068.9,0,FALSE
AC000111.6,FAIL,negbinomial.size,1,1,AC000111.6,1,FALSE
AC000403.4,OK,negbinomial.size,1,1,AC000403.4,0,FALSE
AC001226.7,OK,negbinomial.size,1,1,AC001226.7,1,FALSE
AC002066.1,OK,negbinomial.size,1,1,AC002066.1,0,FALSE
AC002076.10,OK,negbinomial.size,1,1,AC002076.10,3,FALSE
AC002115.9,OK,negbinomial.size,1,1,AC002115.9,0,FALSE
AC002116.7,OK,negbinomial.size,1,1,AC002116.7,0,FALSE
AC002117.1,OK,negbinomial.size,0.990340256,1,AC002117.1,10,FALSE
AC002128.5,OK,negbinomial.size,1,1,AC002128.5,1,FALSE
AC002306.1,OK,negbinomial.size,0.992361231,1,AC002306.1,66,FALSE
AC002310.12,OK,negbinomial.size,0.979766,1,AC002310.12,23,FALSE
AC002310.7,OK,negbinomial.size,1,1,AC002310.7,2,FALSE
AC002331.1,OK,negbinomial.size,0.999980509,1,AC002331.1,4,FALSE
AC002398.11,OK,negbinomial.size,1,1,AC002398.11,2,FALSE
AC002398.12,OK,negbinomial.size,1,1,AC002398.12,0,FALSE
AC002429.5,OK,negbinomial.size,1,1,AC002429.5,1,FALSE
AC002451.3,OK,negbinomial.size,0.993628831,1,AC002451.3,6,FALSE
AC002454.1,OK,negbinomial.size,1,1,AC002454.1,6,FALSE
AC002456.2,OK,negbinomial.size,1,1,AC002456.2,0,FALSE
AC002467.7,OK,negbinomial.size,0.292220278,1,AC002467.7,22,FALSE
AC002480.2,OK,negbinomial.size,1,1,AC002480.2,0,FALSE
AC002480.3,OK,negbinomial.size,1,1,AC002480.3,0,FALSE
AC002480.4,OK,negbinomial.size,1,1,AC002480.4,0,FALSE
AC002511.2,OK,negbinomial.size,0.999999971,1,AC002511.2,1,FALSE
AC002511.3,OK,negbinomial.size,1,1,AC002511.3,0,FALSE
AC002550.5,OK,negbinomial.size,1,1,AC002550.5,0,FALSE
AC002550.6,OK,negbinomial.size,1,1,AC002550.6,2,FALSE
AC003075.4,OK,negbinomial.size,0.939000907,1,AC003075.4,30,FALSE
AC003084.2,OK,negbinomial.size,1,1,AC003084.2,0,FALSE
AC003090.1,OK,negbinomial.size,1,1,AC003090.1,1,FALSE
AC003092.1,OK,negbinomial.size,1,1,AC003092.1,0,FALSE
AC003101.1,OK,negbinomial.size,1,1,AC003101.1,0,FALSE
AC003956.1,OK,negbinomial.size,0.959484671,1,AC003956.1,73,FALSE
AC003958.2,OK,negbinomial.size,1,1,AC003958.2,2,FALSE
AC003991.3,OK,negbinomial.size,0.131918008,1,AC003991.3,7,FALSE
AC004009.3,OK,negbinomial.size,1,1,AC004009.3,0,FALSE
AC004012.1,OK,negbinomial.size,1,1,AC004012.1,1,FALSE
AC004019.13,OK,negbinomial.size,1,1,AC004019.13,0,FALSE
AC004053.1,FAIL,negbinomial.size,1,1,AC004053.1,4,FALSE
AC004066.3,OK,negbinomial.size,1,1,AC004066.3,1,FALSE
AC004067.5,OK,negbinomial.size,1,1,AC004067.5,0,FALSE
AC004069.2,OK,negbinomial.size,1,1,AC004069.2,8,FALSE
AC004076.5,OK,negbinomial.size,1,1,AC004076.5,2,FALSE
AC004156.3,OK,negbinomial.size,0.998124555,1,AC004156.3,5,FALSE
AC004158.1,OK,negbinomial.size,0.990301154,1,AC004158.1,3,FALSE
AC004160.4,OK,negbinomial.size,1,1,AC004160.4,0,FALSE
AC004221.2,OK,negbinomial.size,1,1,AC004221.2,0,FALSE
AC004231.2,OK,negbinomial.size,1,1,AC004231.2,0,FALSE
AC004237.1,OK,negbinomial.size,1,1,AC004237.1,0,FALSE
AC004257.1,OK,negbinomial.size,0.998464217,1,AC004257.1,7,FALSE
AC004381.6,OK,negbinomial.size,1,1,AC004381.6,10,FALSE
AC004448.2,OK,negbinomial.size,1,1,AC004448.2,0,FALSE
AC004449.6,OK,negbinomial.size,1,1,AC004449.6,0,FALSE
AC004471.9,OK,negbinomial.size,1,1,AC004471.9,0,FALSE
AC004490.1,OK,negbinomial.size,0.999999536,1,AC004490.1,3,FALSE
AC004510.3,OK,negbinomial.size,0.999967181,1,AC004510.3,21,FALSE
AC004540.4,OK,negbinomial.size,1,1,AC004540.4,1,FALSE
AC004540.5,OK,negbinomial.size,1,1,AC004540.5,6,FALSE
AC004549.6,OK,negbinomial.size,1,1,AC004549.6,1,FALSE
AC004556.1,OK,negbinomial.size,0.98990042,1,AC004556.1,177,FALSE
AC004593.3,OK,negbinomial.size,1,1,AC004593.3,0,FALSE
AC004754.3,OK,negbinomial.size,0.994711113,1,AC004754.3,14,FALSE
AC004775.5,OK,negbinomial.size,1,1,AC004775.5,1,FALSE
AC004791.2,OK,negbinomial.size,1,1,AC004791.2,0,FALSE
AC004824.2,OK,negbinomial.size,1,1,AC004824.2,0,FALSE
AC004837.5,OK,negbinomial.size,1,1,AC004837.5,1,FALSE
AC004854.4,OK,negbinomial.size,1,1,AC004854.4,1,FALSE
AC004878.2,OK,negbinomial.size,1,1,AC004878.2,1,FALSE
AC004878.8,OK,negbinomial.size,1,1,AC004878.8,0,FALSE
AC004893.11,OK,negbinomial.size,0.999999157,1,AC004893.11,4,FALSE
AC004895.4,OK,negbinomial.size,1,1,AC004895.4,0,FALSE
AC004941.3,OK,negbinomial.size,1,1,AC004941.3,0,FALSE
AC004947.2,OK,negbinomial.size,1,1,AC004947.2,0,FALSE
AC004951.6,OK,negbinomial.size,0.24502856,1,AC004951.6,45,FALSE
AC004988.1,OK,negbinomial.size,0.856503075,1,AC004988.1,13,FALSE
AC005013.5,OK,negbinomial.size,1,1,AC005013.5,0,FALSE
AC005019.3,OK,negbinomial.size,1,1,AC005019.3,0,FALSE
AC005037.3,OK,negbinomial.size,1,1,AC005037.3,3,FALSE
AC005042.4,OK,negbinomial.size,1,1,AC005042.4,0,FALSE
AC005076.5,FAIL,negbinomial.size,1,1,AC005076.5,10,FALSE
AC005082.12,OK,negbinomial.size,1,1,AC005082.12,0,FALSE
AC005104.3,OK,negbinomial.size,1,1,AC005104.3,0,FALSE
AC005152.3,OK,negbinomial.size,1,1,AC005152.3,0,FALSE
AC005197.2,OK,negbinomial.size,1,1,AC005197.2,1,FALSE
AC005220.3,OK,negbinomial.size,1,1,AC005220.3,0,FALSE
AC005224.2,FAIL,negbinomial.size,1,1,AC005224.2,2,FALSE
AC005253.2,OK,negbinomial.size,0.998065574,1,AC005253.2,16,FALSE
AC005253.4,OK,negbinomial.size,1,1,AC005253.4,0,FALSE
AC005256.1,FAIL,negbinomial.size,1,1,AC005256.1,77,FALSE
AC005262.2,OK,negbinomial.size,1,1,AC005262.2,0,FALSE
AC005264.2,OK,negbinomial.size,1,1,AC005264.2,0,FALSE
AC005276.1,OK,negbinomial.size,1,1,AC005276.1,0,FALSE
AC005281.1,FAIL,negbinomial.size,1,1,AC005281.1,3,FALSE
AC005307.1,OK,negbinomial.size,1,1,AC005307.1,5,FALSE
AC005307.3,OK,negbinomial.size,1,1,AC005307.3,1,FALSE
AC005329.7,FAIL,negbinomial.size,1,1,AC005329.7,3,FALSE
AC005330.2,FAIL,negbinomial.size,1,1,AC005330.2,1,FALSE
AC005339.2,OK,negbinomial.size,1,1,AC005339.2,1,FALSE
AC005355.1,OK,negbinomial.size,1,1,AC005355.1,0,FALSE
AC005355.2,OK,negbinomial.size,0.987687265,1,AC005355.2,26,FALSE
AC005363.11,FAIL,negbinomial.size,1,1,AC005363.11,18,FALSE
AC005477.1,OK,negbinomial.size,0.999999514,1,AC005477.1,2,FALSE
AC005480.1,OK,negbinomial.size,1,1,AC005480.1,0,FALSE
AC005481.5,OK,negbinomial.size,1,1,AC005481.5,0,FALSE
AC005487.2,OK,negbinomial.size,1,1,AC005487.2,0,FALSE
AC005498.3,OK,negbinomial.size,0.543299768,1,AC005498.3,17,FALSE
AC005498.4,OK,negbinomial.size,1,1,AC005498.4,0,FALSE
AC005523.2,OK,negbinomial.size,0.995371657,1,AC005523.2,87,FALSE
AC005523.3,OK,negbinomial.size,1,1,AC005523.3,0,FALSE
AC005534.8,OK,negbinomial.size,1,1,AC005534.8,0,FALSE
AC005537.2,OK,negbinomial.size,1,1,AC005537.2,1,FALSE
AC005540.3,OK,negbinomial.size,1,1,AC005540.3,0,FALSE
AC005550.3,OK,negbinomial.size,0.992917521,1,AC005550.3,25,FALSE
AC005592.1,OK,negbinomial.size,1,1,AC005592.1,1,FALSE
AC005592.2,OK,negbinomial.size,0.994538914,1,AC005592.2,1,FALSE
AC005592.3,OK,negbinomial.size,1,1,AC005592.3,0,FALSE
AC005606.14,OK,negbinomial.size,1,1,AC005606.14,0,FALSE
AC005606.15,OK,negbinomial.size,1,1,AC005606.15,0,FALSE
AC005614.3,OK,negbinomial.size,0.999999679,1,AC005614.3,3,FALSE
AC005616.2,OK,negbinomial.size,1,1,AC005616.2,0,FALSE
AC005618.6,OK,negbinomial.size,0.998124555,1,AC005618.6,4,FALSE
AC005624.2,OK,negbinomial.size,1,1,AC005624.2,0,FALSE
AC005625.1,OK,negbinomial.size,1,1,AC005625.1,1,FALSE
AC005740.6,OK,negbinomial.size,1,1,AC005740.6,0,FALSE
AC005754.8,OK,negbinomial.size,1,1,AC005754.8,0,FALSE
AC005757.6,OK,negbinomial.size,1,1,AC005757.6,0,FALSE
AC005775.2,OK,negbinomial.size,1,1,AC005775.2,0,FALSE
AC005786.5,OK,negbinomial.size,1,1,AC005786.5,2,FALSE
AC005786.7,OK,negbinomial.size,1,1,AC005786.7,1,FALSE
AC005808.3,OK,negbinomial.size,1,1,AC005808.3,0,FALSE
AC005932.1,OK,negbinomial.size,1,1,AC005932.1,0,FALSE
AC005944.2,OK,negbinomial.size,1,1,AC005944.2,2,FALSE
AC005954.4,OK,negbinomial.size,1,1,AC005954.4,0,FALSE
AC006004.1,OK,negbinomial.size,1,1,AC006004.1,2,FALSE
AC006007.1,OK,negbinomial.size,1,1,AC006007.1,0,FALSE
AC006042.6,OK,negbinomial.size,1,1,AC006042.6,0,FALSE
AC006116.17,OK,negbinomial.size,0.999948368,1,AC006116.17,8,FALSE
AC006126.3,OK,negbinomial.size,1,1,AC006126.3,0,FALSE
AC006129.1,OK,negbinomial.size,1,1,AC006129.1,0,FALSE
AC006129.2,OK,negbinomial.size,1,1,AC006129.2,3,FALSE
AC006159.4,OK,negbinomial.size,1,1,AC006159.4,0,FALSE
AC006160.5,OK,negbinomial.size,1,1,AC006160.5,1,FALSE
AC006262.10,OK,negbinomial.size,1,1,AC006262.10,0,FALSE
AC006262.4,OK,negbinomial.size,1,1,AC006262.4,0,FALSE
AC006262.5,OK,negbinomial.size,0.486550206,1,AC006262.5,74,FALSE
AC006273.4,OK,negbinomial.size,1,1,AC006273.4,0,FALSE
AC006273.5,FAIL,negbinomial.size,1,1,AC006273.5,16,FALSE
AC006277.2,OK,negbinomial.size,1,1,AC006277.2,0,FALSE
AC006369.2,OK,negbinomial.size,1,1,AC006369.2,0,FALSE
AC006372.4,OK,negbinomial.size,1,1,AC006372.4,0,FALSE
AC006372.5,OK,negbinomial.size,1,1,AC006372.5,0,FALSE
AC006449.2,OK,negbinomial.size,0.076613316,0.926415057,AC006449.2,38,FALSE
AC006460.2,OK,negbinomial.size,1,1,AC006460.2,0,FALSE
AC006482.1,OK,negbinomial.size,1,1,AC006482.1,0,FALSE
