edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
PPP4R3A,0.038333036,8.260654014,585.7445482,7.69E-97,4.48E-96,5
CEP104,0.034544361,8.149387652,609.7840329,7.70E-68,3.50E-67,5
TFPT,0.028550359,8.175853555,368.2312113,8.97E-52,3.48E-51,5
RNF8,0.032132492,8.202566006,449.7561293,7.74E-65,3.42E-64,5
CARD16,0.014541466,8.167810061,99.1478777,9.24E-17,2.36E-16,5
PHGR1,0.02005105,11.07756862,148.9913336,3.90E-34,1.25E-33,5
NDUFB7,0.024765501,9.493770497,488.1226763,8.80E-107,5.53E-106,5
METAP2,0.035052931,8.677697306,630.689713,6.96E-137,5.45E-136,5
FABP6,0.002784177,8.283564008,2.767002154,0.09624319,0.13735699,5
STRN3,0.032960963,8.16832719,514.681634,1.24E-67,5.65E-67,5
CCS,0.037053821,8.297476713,567.2772597,3.67E-102,2.23E-101,5
SUDS3,0.03643809,8.383911493,565.3058074,1.35E-111,8.75E-111,5
PUM3,0.040033068,8.319017589,647.4370729,2.10E-140,1.68E-139,5
C16orf58,0.030731487,8.163228571,459.4230237,9.09E-58,3.74E-57,5
AP3B1,0.037212079,8.197483354,609.0791346,2.50E-89,1.37E-88,5
UQCRB,0.029871911,10.22955217,612.0185112,5.90E-133,4.49E-132,5
UQCC2,0.02471901,8.565469821,277.4516323,7.62E-62,3.27E-61,5
EDF1,0.036834461,9.881522103,1130.369745,1.41E-240,2.24E-239,5
ZMYM4,0.023033289,8.12068822,343.8027244,6.03E-34,1.92E-33,5
SKA2,0.029925424,8.191355976,376.2199613,8.46E-58,3.48E-57,5
SCAND1,0.041200838,9.324691045,1134.104219,2.42E-241,3.87E-240,5
OTUD6B-AS1,0.027878737,8.406324005,321.1691817,3.23E-71,1.51E-70,5
SOS2,0.022738169,8.119253567,332.951196,1.21E-32,3.80E-32,5
PSIP1,0.036576864,8.213591003,550.2093167,4.37E-87,2.35E-86,5
NDUFAF2,0.03507958,8.507517898,524.3503084,1.87E-114,1.24E-113,5
FABP1,0.044401735,10.835196,290.2992402,1.33E-64,5.87E-64,5
BACH1,0.035016592,8.171023765,556.2938042,1.00E-71,4.71E-71,5
GMPPA,0.037150337,8.185820474,628.5492232,4.37E-88,2.37E-87,5
COX6B1,0.031274398,10.32236387,750.8534233,4.50E-162,4.22E-161,5
PIN4,0.022966187,8.508050328,236.4929594,4.88E-53,1.92E-52,5
CCDC71L,0.028313966,8.174559475,364.4888162,6.25E-55,2.50E-54,5
HYI,0.029807114,8.241615318,349.0441313,6.29E-55,2.52E-54,5
EMC9,0.025996302,8.143739149,353.7813484,2.43E-40,8.37E-40,5
JARID2,0.026510997,8.162202442,333.5555556,1.15E-42,4.06E-42,5
GMNN,0.037012989,8.219064144,505.6369147,5.84E-92,3.26E-91,5
RFNG,0.024927767,8.142755458,333.7970453,2.25E-38,7.57E-38,5
DDX21,0.050721148,9.097152199,1453.163834,3.84E-306,9.76E-305,5
NUDT1,0.020076215,8.331664513,161.7661014,6.65E-37,2.19E-36,5
SYNRG,0.028378258,8.147860568,419.8071621,9.95E-51,3.82E-50,5
MAP1S,0.032887943,8.17432263,493.8838935,9.90E-63,4.29E-62,5
ASMTL,0.024852701,8.138203768,346.3246573,1.26E-39,4.29E-39,5
KAT6B,0.030143622,8.174811611,412.6338934,4.18E-57,1.71E-56,5
ROMO1,0.022813381,9.38867072,325.28079,4.26E-72,2.01E-71,5
NDUFA3,0.022996528,8.956531034,293.0727492,3.39E-65,1.50E-64,5
RILP,0.026066324,8.155405881,326.2797271,1.37E-39,4.67E-39,5
CHP2,0.020525325,8.138602023,201.8165302,3.99E-28,1.18E-27,5
XPC,0.027721553,8.13568774,430.5930061,3.17E-46,1.17E-45,5
SSSCA1,0.034452298,8.390514512,472.7613637,1.59E-103,9.77E-103,5
SOCS1,-0.020597226,8.196654732,172.0641442,1.57E-29,4.74E-29,5
ARHGEF11,-0.01386404,8.106155838,147.5857211,9.49E-14,2.30E-13,5
MAGIX,0.007124798,8.120826657,32.5465263,9.31E-05,0.000179361,5
PPP1R10,-0.016308268,8.417422839,104.5305816,1.80E-24,5.10E-24,5
DRG2,0.029481977,8.166005222,410.5339574,7.82E-50,2.98E-49,5
HEXIM1,-0.044000129,8.614690053,806.5126226,1.10E-173,1.11E-172,5
ANKS4B,0.023593879,8.127326648,341.674981,1.46E-37,4.87E-37,5
RPL21,0.02358675,12.85861242,267.9930087,8.20E-60,3.45E-59,5
DDX55,0.030885245,8.135604959,549.0165907,4.94E-60,2.08E-59,5
LENG9,0.00816209,8.169728752,30.87328761,2.62E-05,5.17E-05,5
FTSJ3,0.034030078,8.166301376,553.2829373,1.98E-70,9.20E-70,5
CDKN1C,0.021160947,8.250718076,143.6209643,5.70E-33,1.80E-32,5
CHRM3,0.01164282,8.119437007,84.45988347,1.19E-09,2.66E-09,5
TBC1D10B,0.024864929,8.132168123,357.2966522,2.55E-37,8.45E-37,5
POU3F1,-0.046717164,8.095294735,2384.832446,1.07E-169,1.06E-168,5
SOCS4,0.019470837,8.114089497,267.2090185,8.14E-26,2.35E-25,5
PARD3,0.027373022,8.174614025,347.7874962,1.97E-45,7.20E-45,5
IER5L,-0.009728366,8.3795766,31.95134633,1.60E-08,3.51E-08,5
AL137077.2,-0.057760244,8.105820888,3282.462934,3.07E-259,5.55E-258,5
SNAI1,0.023943895,8.154478514,280.716123,1.28E-45,4.69E-45,5
OTULIN,0.023919037,8.162618495,277.9526529,2.35E-36,7.69E-36,5
FAM43A,0.013644118,8.138226159,96.13910483,1.43E-13,3.46E-13,5
METTL2B,0.035418606,8.159994932,613.7301727,4.03E-76,1.98E-75,5
UBE2C,0.00887678,8.252780792,24.69258583,6.78E-07,1.42E-06,5
KIAA0101,0.015940704,8.24702002,83.09263123,8.61E-20,2.30E-19,5
RBBP8NL,0.016133619,8.169348572,119.933033,3.54E-19,9.36E-19,5
REXO4,0.025540923,8.237892502,274.0255738,1.64E-45,6.01E-45,5
STX19,0.020190784,8.109772191,321.4690972,3.78E-32,1.18E-31,5
PDCD7,0.039186366,8.237701146,641.4695273,4.01E-105,2.49E-104,5
TLE4,-0.009363433,8.245061244,32.778199,6.56E-07,1.37E-06,5
C1orf35,0.026848986,8.343530173,300.818809,7.40E-67,3.34E-66,5
KNOP1,0.019076629,8.393298754,159.178326,2.42E-36,7.91E-36,5
MED25,0.03031945,8.208143736,400.2940001,6.28E-60,2.65E-59,5
TRA2A,0.04084815,8.518047917,719.8535923,1.37E-155,1.23E-154,5
HIST1H2BG,-0.041363816,8.369740199,615.2483999,1.23E-133,9.43E-133,5
PCLO,-0.004815773,8.12951404,10.98144226,0.040914249,0.062849823,5
INO80,0.025388643,8.151847368,334.1576268,1.94E-41,6.76E-41,5
EML3,0.025255065,8.144350136,335.4757898,1.11E-38,3.74E-38,5
PDCD11,0.028425937,8.166253756,383.0025928,5.62E-49,2.12E-48,5
OCEL1,0.030213707,8.154601272,450.1208496,6.88E-53,2.70E-52,5
AMD1,0.030722254,8.635793881,444.2868786,1.77E-97,1.04E-96,5
IWS1,0.04518099,8.241409352,857.8022062,1.50E-146,1.26E-145,5
RUSC1,0.037587188,8.250545279,583.0716663,3.59E-98,2.11E-97,5
UPF1,0.033731721,8.193899572,501.0828172,1.40E-69,6.46E-69,5
ANKRD9,0.026809861,8.233364203,284.7189159,2.69E-50,1.03E-49,5
RNASEH2A,0.026619998,8.180638622,311.7212363,4.12E-44,1.48E-43,5
TBCC,0.029969104,8.227126815,381.0296384,1.73E-67,7.83E-67,5
C1orf56,0.02386295,8.159342743,257.8518763,3.65E-34,1.17E-33,5
TMSB10,0.035498979,13.2455322,1061.243481,2.15E-226,3.10E-225,5
LENG1,0.03089161,8.168703692,451.8560663,9.95E-58,4.09E-57,5
FRAT2,0.027398139,8.202752759,314.9038,2.04E-47,7.60E-47,5
ZNF768,0.029651263,8.184717748,388.5471266,2.02E-50,7.76E-50,5
SOX4,-0.001782031,9.750289652,1.581810138,0.208516051,0.274333305,5
SLC7A8,0.019565331,8.144198265,179.5987001,4.23E-22,1.16E-21,5
UBAC1,0.036551393,8.236829766,544.9457851,8.99E-85,4.73E-84,5
LINC01970,-0.036171973,8.081659594,2276.509911,2.02E-118,1.38E-117,5
AC005837.1,-0.044023156,8.08710822,2890.660042,2.77E-169,2.71E-168,5
AL021453.1,-0.032976576,8.08483981,1626.299289,7.52E-94,4.27E-93,5
COL27A1,0.004517678,8.131857478,9.326265459,0.063501813,0.094195952,5
PAXBP1,0.002454455,8.188259431,3.137242086,0.077090562,0.112248028,5
MSH3,0.026022893,8.153695462,342.9770336,2.61E-42,9.18E-42,5
BAP1,0.023669149,8.140557887,300.4596647,1.36E-32,4.27E-32,5
CENPN,0.021022502,8.203760285,178.0431758,4.86E-28,1.44E-27,5
JUN,0.019266674,10.45455934,220.9563563,1.08E-49,4.13E-49,5
